               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11817,            0.052326,            0.041265,           0.0073447,            0.024151,            0.001219,          0.00019578,              0.1111,            0.048434,            0.040182,             0.00018,             0.00018,             0.09838
                   1,             0.11215,            0.055803,            0.039843,            0.013628,            0.050606,           0.0032789,          0.00049879,             0.10409,            0.051362,             0.03873,          0.00036999,          0.00036999,             0.09667
                   2,             0.10547,            0.058709,            0.038228,            0.048314,            0.089179,            0.020656,           0.0037178,            0.097573,            0.054261,            0.036961,          0.00055995,          0.00055995,             0.09496
                   3,            0.099189,            0.062703,             0.03617,            0.062109,             0.10053,            0.044207,            0.010433,            0.091812,            0.055529,            0.034659,          0.00074985,          0.00074985,             0.09325
                   4,            0.093718,            0.064332,            0.033876,             0.76637,             0.11111,            0.072127,            0.020704,            0.086558,            0.054631,            0.031953,          0.00093967,          0.00093967,             0.09154
                   5,            0.086642,            0.064292,            0.030986,             0.46677,             0.15608,             0.11933,             0.03489,            0.081048,            0.054897,            0.029022,           0.0011294,           0.0011294,            0.089829
                   6,            0.081531,            0.060547,            0.027762,             0.82533,             0.16101,             0.15597,            0.047085,            0.073074,            0.054874,            0.025497,            0.001319,            0.001319,            0.088119
                   7,            0.075994,            0.058481,             0.02452,             0.34416,             0.40956,             0.28804,            0.087717,             0.06746,            0.051222,            0.021423,           0.0015084,           0.0015084,            0.086408
                   8,             0.07181,            0.054453,            0.021494,              0.4787,              0.4573,             0.38083,             0.11287,            0.067303,            0.048518,            0.017972,           0.0016976,           0.0016976,            0.084698
                   9,            0.073856,            0.048269,            0.018941,             0.47518,             0.42229,             0.37476,             0.11361,            0.068725,            0.042757,            0.015532,           0.0018866,           0.0018866,            0.082987
                  10,            0.072399,             0.05128,             0.01684,             0.47851,             0.50024,             0.48417,             0.17257,             0.05869,            0.042511,            0.013521,           0.0020754,           0.0020754,            0.081275
                  11,              0.0696,            0.046814,            0.015222,             0.46763,             0.42545,             0.44675,             0.14855,            0.064324,            0.038931,            0.011836,            0.002264,            0.002264,            0.079564
                  12,            0.068638,            0.048254,            0.013005,             0.42132,             0.56737,             0.45969,             0.15963,             0.05816,            0.038418,            0.010675,           0.0024522,           0.0024522,            0.077852
                  13,            0.069368,            0.045067,            0.012674,             0.47452,             0.49274,             0.45853,             0.15176,            0.060349,            0.037879,            0.009817,           0.0026402,           0.0026402,             0.07614
                  14,            0.066203,            0.042309,            0.012217,             0.55489,              0.5278,             0.53461,             0.18128,            0.054183,            0.037488,           0.0094372,           0.0028278,           0.0028278,            0.074428
                  15,            0.065718,             0.04328,             0.01167,             0.47222,             0.60227,             0.54969,             0.21817,            0.056255,            0.036664,           0.0088558,           0.0030151,           0.0030151,            0.072715
                  16,            0.062999,            0.043094,            0.010184,             0.54007,             0.68712,             0.63788,             0.25739,            0.049472,            0.036816,           0.0084987,            0.003202,            0.003202,            0.071002
                  17,            0.062129,            0.044361,            0.010316,             0.53777,             0.55889,             0.55391,             0.22393,            0.053081,            0.035558,           0.0079824,           0.0033884,           0.0033884,            0.069288
                  18,            0.060752,            0.042682,           0.0099943,             0.57438,             0.66898,              0.6596,             0.25931,            0.052417,              0.0353,           0.0080091,           0.0035745,           0.0035745,            0.067574
                  19,            0.060947,            0.043436,           0.0099132,             0.53068,             0.61185,             0.57238,             0.21868,            0.052369,            0.034756,           0.0075845,           0.0037601,           0.0037601,             0.06586
                  20,            0.057803,            0.042243,           0.0096465,             0.68625,             0.60807,             0.67131,             0.28661,             0.04872,            0.034473,            0.007445,           0.0039452,           0.0039452,            0.064145
                  21,            0.057133,            0.038859,            0.009036,             0.68521,             0.67939,             0.67656,             0.26896,              0.0498,            0.035361,            0.006859,           0.0041298,           0.0041298,             0.06243
                  22,            0.056623,            0.040157,           0.0087279,             0.72938,             0.69198,             0.75074,             0.34342,            0.044816,            0.033967,           0.0067631,           0.0043139,           0.0043139,            0.060714
                  23,            0.054667,            0.041584,           0.0085548,             0.52878,             0.67656,             0.61074,             0.25962,            0.049465,            0.034629,           0.0075798,           0.0044975,           0.0044975,            0.058997
                  24,            0.055286,            0.039068,           0.0082344,             0.65685,             0.78056,             0.74441,             0.35259,            0.043148,            0.033465,            0.006295,           0.0046804,           0.0046804,             0.05728
                  25,            0.054333,            0.039616,           0.0081564,             0.56611,             0.75468,              0.7091,             0.30921,            0.045182,             0.03358,           0.0064649,           0.0048628,           0.0048628,            0.055563
                  26,            0.057743,            0.038835,           0.0081959,             0.49476,             0.78635,             0.62726,             0.23887,            0.048806,            0.033236,           0.0063122,           0.0050446,           0.0050446,            0.053845
                  27,            0.060575,            0.038818,           0.0078532,             0.54827,             0.60049,             0.55417,             0.20002,            0.050897,            0.033645,           0.0067935,           0.0052257,           0.0052257,            0.052126
                  28,            0.058018,            0.038546,           0.0082888,             0.43872,             0.56261,             0.48916,             0.14562,            0.053255,            0.034875,           0.0064879,           0.0054061,           0.0054061,            0.050406
                  29,            0.057222,            0.039187,           0.0080954,             0.55075,             0.67168,             0.60847,             0.24677,            0.048617,            0.033762,           0.0065326,           0.0055859,           0.0055859,            0.048686
                  30,            0.056499,            0.039012,            0.007857,             0.58523,             0.71718,             0.68726,             0.27527,            0.046856,            0.033293,           0.0058928,           0.0057649,           0.0057649,            0.046965
                  31,             0.05279,            0.037169,           0.0081097,             0.65003,             0.75891,             0.70429,             0.29175,            0.045508,            0.033814,           0.0059049,           0.0059432,           0.0059432,            0.045243
                  32,            0.051472,            0.039067,           0.0076668,             0.81931,             0.74402,             0.81455,             0.34929,            0.043913,            0.032044,           0.0056493,           0.0061207,           0.0061207,            0.043521
                  33,            0.056036,            0.036491,           0.0077397,             0.62211,              0.7759,             0.73429,             0.29766,            0.046891,            0.031551,           0.0056623,           0.0062975,           0.0062975,            0.041797
                  34,            0.053448,            0.039124,            0.007341,             0.61859,             0.70614,             0.69666,             0.28905,            0.044679,            0.035077,           0.0064236,           0.0064734,           0.0064734,            0.040073
                  35,            0.050302,            0.037688,            0.007605,             0.83731,             0.73459,             0.80147,             0.38075,            0.041016,            0.033957,           0.0060244,           0.0066485,           0.0066485,            0.038349
                  36,            0.048996,            0.037064,           0.0070308,             0.69403,             0.56941,             0.62345,              0.2308,            0.048559,            0.037009,           0.0067836,           0.0068228,           0.0068228,            0.036623
                  37,            0.050914,            0.037427,            0.007128,             0.68429,             0.77994,             0.76453,             0.34196,            0.041858,            0.032074,             0.00538,           0.0069962,           0.0069962,            0.034896
                  38,            0.049009,            0.034833,           0.0066993,             0.83385,             0.70411,             0.81651,             0.42449,            0.039747,            0.032285,           0.0054623,           0.0071687,           0.0071687,            0.033169
                  39,            0.046162,            0.036096,           0.0074713,              0.7268,             0.76451,             0.79647,             0.38878,            0.041466,            0.031168,           0.0050704,           0.0073403,           0.0073403,             0.03144
                  40,            0.045568,            0.037147,           0.0066904,             0.69758,             0.72222,             0.73846,             0.33296,            0.044709,            0.035648,           0.0069095,            0.007511,            0.007511,            0.029711
                  41,            0.049739,            0.035962,           0.0071876,             0.80035,             0.76085,             0.82226,             0.38748,            0.038781,             0.03208,            0.005237,           0.0076806,           0.0076806,            0.027981
                  42,            0.046165,            0.035056,           0.0069219,             0.79168,             0.81749,              0.8386,               0.406,            0.039787,            0.032095,            0.004995,           0.0078494,           0.0078494,            0.026249
                  43,            0.045639,            0.036339,            0.006858,             0.71443,             0.68967,             0.69354,             0.31512,            0.044122,            0.036071,           0.0057035,           0.0080171,           0.0080171,            0.024517
                  44,            0.049684,             0.03535,           0.0067899,             0.74594,             0.79023,             0.81442,             0.37784,            0.042081,             0.03176,           0.0050037,           0.0081838,           0.0081838,            0.022784
                  45,            0.051886,            0.037991,           0.0067769,             0.78126,             0.77605,             0.79777,             0.37748,             0.04223,            0.032375,            0.005341,           0.0083494,           0.0083494,            0.021049
                  46,            0.051692,            0.037226,           0.0068383,             0.78462,             0.77208,              0.7537,             0.35652,            0.039766,            0.032668,           0.0050062,            0.008514,            0.008514,            0.019314
                  47,            0.049037,            0.034554,            0.006949,             0.75487,             0.72013,             0.76022,             0.30631,            0.046139,            0.034915,           0.0056123,           0.0086775,           0.0086775,            0.017577
                  48,            0.049189,            0.033959,           0.0068537,             0.78647,               0.751,             0.79909,             0.33243,            0.043279,            0.033373,            0.005424,           0.0088399,           0.0088399,             0.01584
                  49,            0.045442,             0.03488,           0.0067627,             0.77502,             0.80689,             0.82367,             0.40926,            0.040567,            0.034465,           0.0054498,           0.0090011,           0.0090011,            0.014101
                  50,            0.047146,             0.03739,            0.006371,             0.76132,             0.77492,             0.79765,             0.34646,            0.043581,            0.032994,            0.005169,           0.0091613,           0.0091613,            0.012361
                  51,            0.048302,            0.033856,           0.0066663,             0.78699,              0.7906,             0.82396,              0.3371,            0.044461,            0.034682,           0.0051824,           0.0093202,           0.0093202,             0.01062
                  52,            0.045879,            0.035612,           0.0068616,              0.7008,             0.80392,             0.77625,             0.31818,            0.041676,            0.033908,           0.0048941,           0.0094215,           0.0094215,           0.0094215
                  53,            0.045372,            0.035187,           0.0064324,             0.81765,              0.7933,             0.85578,             0.42436,            0.038544,            0.032387,           0.0048917,           0.0094215,           0.0094215,           0.0094215
                  54,            0.044865,            0.035868,            0.006305,             0.73818,             0.71468,             0.75457,             0.36136,            0.041834,            0.037732,           0.0061964,           0.0093996,           0.0093996,           0.0093996
                  55,            0.044454,            0.037338,           0.0063726,             0.81658,             0.82449,             0.84132,             0.40636,            0.039798,             0.03283,            0.004542,           0.0093773,           0.0093773,           0.0093773
                  56,            0.043288,            0.035605,            0.006282,             0.71097,             0.49375,             0.54606,             0.24091,            0.059917,            0.049565,            0.017535,           0.0093547,           0.0093547,           0.0093547
                  57,            0.041547,            0.033451,           0.0063569,             0.74407,             0.77983,             0.78347,             0.38455,            0.040892,            0.037709,           0.0063248,           0.0093317,           0.0093317,           0.0093317
                  58,            0.039901,            0.034007,           0.0062601,             0.82158,             0.78174,               0.826,              0.4184,            0.038105,             0.03419,           0.0049565,           0.0093083,           0.0093083,           0.0093083
                  59,            0.040383,              0.0342,           0.0058967,             0.85241,             0.79883,             0.84541,             0.43406,            0.037875,            0.032302,           0.0045069,           0.0092846,           0.0092846,           0.0092846
                  60,            0.040398,            0.035069,           0.0057729,             0.81092,             0.69608,             0.76222,             0.38233,            0.041859,            0.037036,           0.0056929,           0.0092605,           0.0092605,           0.0092605
                  61,            0.038829,            0.031576,           0.0056597,             0.85294,             0.78556,             0.83279,             0.46403,            0.035828,            0.034367,           0.0044033,           0.0092361,           0.0092361,           0.0092361
                  62,            0.042147,            0.033891,           0.0058132,             0.79322,             0.78328,             0.81029,             0.41022,            0.038744,            0.034102,           0.0046825,           0.0092113,           0.0092113,           0.0092113
                  63,            0.042087,            0.034211,           0.0061373,              0.7988,             0.77799,              0.8199,             0.42835,            0.037087,            0.034714,           0.0046563,           0.0091861,           0.0091861,           0.0091861
                  64,            0.036837,            0.031728,           0.0060065,             0.88763,             0.71996,             0.83002,             0.46017,             0.03595,            0.034055,           0.0045229,           0.0091606,           0.0091606,           0.0091606
                  65,            0.037832,            0.031547,           0.0052733,             0.79674,             0.84563,              0.8548,             0.43516,            0.035893,            0.033442,            0.004477,           0.0091348,           0.0091348,           0.0091348
                  66,            0.040723,            0.032977,           0.0051357,             0.81908,             0.78396,             0.82204,             0.41481,            0.037685,            0.033771,           0.0042332,           0.0091086,           0.0091086,           0.0091086
